Product ID,Supplier Name,Product Name,Variation,SKU,UPC,Price,Palette Qty,Palette Cost
1,QuillCraft,3" Binder,White,67507007,775923551554,$6.72,300,$2016
2,DraftLine,2" Binder,Black,13199139,523265597897,$2.67,200,$534
3,PenWorks,2-Pocket Folder,Green,97122385,425475105780,$8.09,200,$1618
4,PageCraft,Stapler,Full Strip,33731197,763814529710,$14.24,200,$2848
5,PaperPeak,Photo Paper,Glossy,14901006,444096843618,$2.65,400,$1060
6,PenWorks,Index Tabs,5-Tab,72241399,002971560306,$5.86,400,$2344
7,Scribblify,Notebook Paper,Perforated,23615371,341292495483,$15.00,300,$4500
8,WriteCo,Stapler,Full Strip,37304264,989142046558,$3.07,300,$921
9,PenWorks,Scissors,8-inch,73641572,364069848720,$4.60,400,$1840
10,QuillCraft,Planner,Monthly,68687371,190937306427,$5.28,400,$2112
11,Scribblify,Graph Paper,5x5 Grid,74816031,432569910063,$5.49,300,$1647
12,PenWorks,Engineering Paper,White,21512812,694667828527,$4.87,250,$1217.50
13,PaperPeak,2-Pocket Folder,Blue,87588696,500547264040,$1.69,500,$845
14,Binderly,4" Binder,Black,45641623,783789538569,$9.92,500,$4960
15,Binderly,Index Cards,3x5,47422170,473400227388,$6.00,150,$900
16,NoteNest,Index Tabs,5-Tab,92369948,178413968754,$13.97,200,$2794
17,QuillCraft,Tape,Clear,84462068,346091014540,$4.77,150,$715.50
18,PageCraft,Tracing Paper,Heavyweight,79689051,087789723356,$1.92,500,$960
19,NoteNest,Hanging Folder,Blue,21833548,880746954113,$3.65,150,$547.50
20,Binderly,Printer Paper,Standard,19375530,318123296216,$5.12,200,$1024
21,PageCraft,Copy Paper,Standard,54961785,676471505009,$10.71,250,$2677.50
22,PageCraft,3" Binder,Black,32091109,247441239858,$10.78,250,$2695
23,PaperPeak,File Jacket,Blue,14447930,849572552011,$8.67,300,$2601
24,PageNest,Index Tabs,5-Tab,05407712,679154272218,$12.60,250,$3150
25,OfficeForge,Tracing Paper,Standard,23837278,118382481214,$8.84,300,$2652
26,OfficeForge,Lined Paper,Wide Ruled,85716162,281651450567,$3.76,200,$752
27,Scribblify,Sticky Notes,3x3,14412969,474431555541,$5.35,500,$2675
28,WriteCo,File Jacket,Blue,87621752,317920368070,$3.19,400,$1276
29,QuillCraft,Engineering Paper,White,29571295,625150888527,$14.61,300,$4383
30,OfficeForge,Gel Pen,Blue Ink,38932812,603760145934,$5.14,250,$1285
31,QuillCraft,Stapler,Compact,88823039,046255875031,$9.61,250,$2402.50
32,WriteCo,Cardstock,Assorted Colors,76789486,023641489111,$10.34,300,$3102
33,Scribblify,Cardstock,White,65485552,707374404231,$9.22,200,$1844
34,OfficeForge,Sketch Paper,Lightweight,38762324,799532633898,$4.97,200,$994
35,Binderly,Notebook,Composition,09334124,072779763441,$4.49,300,$1347
36,QuillCraft,Expanding File Folder,Red,22837014,787115976909,$8.28,200,$1656
37,PageNest,Cardstock,Assorted Colors,32330257,794827421223,$14.32,500,$7160
38,WriteCo,Printer Paper,Standard,93323137,093866342215,$1.78,250,$445
39,QuillCraft,2-Pocket Folder,Blue,51478781,135772534442,$8.46,300,$2538
40,PageNest,Sticky Notes,4x6,82662436,791764655039,$5.47,200,$1094
41,WriteCo,File Jacket,Red,95861274,014334739872,$12.83,200,$2566
42,WriteCo,Index Tabs,8-Tab,26453617,783801489437,$3.77,500,$1885
43,PaperPeak,Highlighter,Yellow,61193892,557445828340,$8.06,200,$1612
44,NoteNest,3" Binder,White,54865835,875142595759,$13.75,200,$2750
45,PenWorks,Graph Paper,Quad Ruled,28047605,306910846753,$7.86,250,$1965
46,PageCraft,Resume Paper,Ivory,86812593,003302537977,$3.06,400,$1224
47,DeskMates,Notebook Paper,Perforated,41948659,188943009574,$12.22,500,$6110
48,PenWorks,Engineering Paper,Green,60821724,135988645181,$9.93,400,$3972
49,Scribblify,Clipboard,Letter Size,82004528,847111052862,$5.84,400,$2336
50,PageNest,Clipboard,Legal Size,20451368,966271142758,$11.84,200,$2368
51,QuillCraft,1" Binder,Black,59476428,157371874076,$7.31,400,$2924
52,OfficeForge,Sketch Paper,Heavyweight,89378488,749394909487,$2.90,300,$870
53,OfficeForge,Planner,Weekly,31884233,759879749739,$9.95,150,$1492.50
54,QuillCraft,Notebook,Composition,99790130,058570130117,$13.18,300,$3954
55,WriteCo,Copy Paper,Premium,60265824,593566807989,$2.86,200,$572
56,PageCraft,Stapler,Full Strip,74660990,516638346750,$7.82,250,$1955
57,WriteCo,Copy Paper,Premium,09962064,272321787683,$12.69,150,$1903.50
58,PenWorks,Notebook Paper,Loose Leaf,58778887,806999147324,$11.48,500,$5740
59,PenWorks,2" Binder,Black,74280470,824186256726,$9.52,250,$2380
60,DraftLine,Cardstock,White,85154273,279707038227,$13.93,150,$2089.50
61,NoteNest,Notebook,Spiral,61479146,298159006904,$14.54,150,$2181
62,Scribblify,Cardstock,Assorted Colors,47461830,508296201932,$13.86,400,$5544
63,PageCraft,Index Tabs,8-Tab,81526026,157979388637,$12.37,300,$3711
64,OfficeForge,Graph Paper,5x5 Grid,05607610,628600128823,$9.83,300,$2949
65,PaperPeak,Photo Paper,Glossy,88134058,365709656654,$3.88,250,$970
66,PageCraft,Engineering Paper,Green,64889876,002830211563,$1.95,250,$487.50
67,QuillCraft,Graph Paper,Quad Ruled,00915149,272620657498,$13.66,400,$5464
68,OfficeForge,Ballpoint Pen,Blue Ink,13708528,395198466980,$3.46,200,$692
69,OfficeForge,Printer Paper,High Bright,91770130,139566164625,$11.96,400,$4784
70,PageCraft,Tracing Paper,Standard,00586758,817574589948,$7.25,150,$1087.50
71,PageCraft,Planner,Monthly,21083176,288307725136,$14.45,200,$2890
72,PageNest,Cardstock,White,95017529,381313221115,$10.33,400,$4132
73,PageNest,Lined Paper,Wide Ruled,15181524,907126604296,$11.89,150,$1783.50
74,PaperPeak,Planner,Weekly,67406309,117410465405,$6.55,400,$2620
75,WriteCo,Construction Paper,Assorted,81362473,229650916800,$3.80,250,$950
76,WriteCo,Stapler,Full Strip,03630337,721982998109,$12.00,200,$2400
77,DeskMates,Sticky Notes,3x3,61629697,867321153105,$7.04,150,$1056
78,QuillCraft,2-Pocket Folder,Red,82252159,824335719791,$3.71,150,$556.50
79,DeskMates,2-Pocket Folder,Green,72234570,154572046623,$11.54,200,$2308
80,Binderly,Scissors,5-inch,13253526,284280414778,$6.04,300,$1812
81,Binderly,1.5" Binder,Black,26992261,882236108801,$3.34,200,$668
82,PenWorks,Gel Pen,Blue Ink,08024008,807942345999,$6.81,500,$3405
83,WriteCo,Ballpoint Pen,Blue Ink,69981078,098894211301,$11.60,300,$3480
84,PaperPeak,3-Prong Folder,Blue,10626238,709684178860,$6.85,400,$2740
85,Scribblify,Highlighter,Pink,36813422,965494416271,$8.81,500,$4405
86,DeskMates,Clipboard,Legal Size,85318758,064998938402,$4.96,200,$992
87,PaperPeak,Expanding File Folder,Red,19058529,020555844142,$4.01,200,$802
88,NoteNest,Photo Paper,Matte,54643894,821716931510,$7.90,500,$3950
89,OfficeForge,Clipboard,Legal Size,35548047,575417747359,$13.51,250,$3377.50
90,PaperPeak,2" Binder,White,25500480,375606498280,$8.00,300,$2400
91,Scribblify,Index Cards,3x5,60956208,075997633425,$13.25,500,$6625
92,PaperPeak,4" Binder,White,82539541,137380174710,$9.56,250,$2390
93,Binderly,1.5" Binder,White,93945299,121402753422,$10.98,250,$2745
94,PenWorks,Sketch Paper,Heavyweight,20322821,062134673804,$14.81,300,$4443
95,PaperPeak,Copy Paper,Premium,24957073,947670736238,$10.98,200,$2196
96,QuillCraft,Highlighter,Pink,19864245,486505168802,$4.53,500,$2265
97,DraftLine,File Jacket,Blue,73268693,622685998978,$4.93,250,$1232.50
98,PageCraft,Cardstock,White,87050438,081885392120,$10.60,400,$4240
99,DeskMates,1" Binder,White,79741930,156730307236,$12.12,150,$1818
100,OfficeForge,Planner,Weekly,84793594,324938420214,$7.45,250,$1862.50
101,DeskMates,2-Pocket Folder,Green,57147204,316034779370,$4.85,300,$1455
102,PenWorks,Sticky Notes,3x3,17016481,826864970991,$12.81,250,$3202.50
103,PaperPeak,Gel Pen,Blue Ink,85392330,620562058836,$8.71,200,$1742
104,Scribblify,Expanding File Folder,Blue,72503414,363858308231,$10.40,150,$1560
105,QuillCraft,Stapler,Full Strip,91118200,348270050426,$2.24,300,$672
106,QuillCraft,Sticky Notes,4x6,94409115,614068051170,$4.06,500,$2030
107,DeskMates,Notebook,Composition,34391334,797405150699,$1.67,150,$250.50
108,DraftLine,3-Prong Folder,Green,48911455,566823279643,$5.82,200,$1164
109,PageCraft,Notebook,Spiral,36559542,216584788450,$4.79,150,$718.50
110,Binderly,Graph Paper,Quad Ruled,29758902,480832947796,$9.28,300,$2784
111,Scribblify,Printer Paper,High Bright,64305607,898597306445,$3.44,200,$688
112,Binderly,Expanding File Folder,Red,22983061,099360855580,$10.23,400,$4092
113,QuillCraft,Stapler,Compact,65735923,924365683510,$14.33,300,$4299
114,DeskMates,Legal Pad,White,08373391,542245032085,$9.08,150,$1362
115,PaperPeak,3" Binder,Black,32523069,172689325512,$11.79,150,$1768.50
116,Scribblify,Expanding File Folder,Red,67396975,519430577004,$8.81,300,$2643
117,QuillCraft,Cardstock,Assorted Colors,84820375,382265398101,$11.31,150,$1696.50
118,Binderly,1" Binder,White,71151089,048586243376,$13.13,300,$3939
119,DeskMates,1.5" Binder,White,46152789,880051666456,$8.37,500,$4185
120,Scribblify,Printer Paper,High Bright,87134889,304743158949,$2.98,200,$596
121,Binderly,Engineering Paper,Green,28229287,186539978820,$11.01,200,$2202
122,NoteNest,Sketch Paper,Heavyweight,43072373,045087929278,$14.68,300,$4404
123,PageNest,Highlighter,Pink,04285517,659622802495,$4.94,200,$988
124,DeskMates,Stapler,Full Strip,93571693,121555862060,$11.02,400,$4408
125,DraftLine,Envelope,Catalog,46285877,320223821055,$11.38,500,$5690
126,QuillCraft,Notebook,Spiral,18420577,624198375410,$11.92,300,$3576
127,PaperPeak,Photo Paper,Matte,90543712,317540982671,$6.44,250,$1610
128,WriteCo,Stapler,Compact,67281409,845219760334,$9.77,200,$1954
129,PenWorks,Gel Pen,Black Ink,31057864,129874665902,$4.68,400,$1872
130,PageCraft,Copy Paper,High Bright,74190236,503118794225,$12.14,300,$3642
131,DeskMates,Sticky Notes,4x6,55914780,774503219886,$3.55,500,$1775
135,Binderly,1" Binder,White,12794068,310557498621,$8.09,400,$3236
136,PageNest,Cardstock,Assorted Colors,66820491,826441905377,$14.22,250,$3555
137,QuillCraft,Expanding File Folder,Blue,59281403,475330198744,$10.56,200,$2112
138,PaperPeak,2-Pocket Folder,Red,77452016,660118374902,$3.44,500,$1720
139,WriteCo,Printer Paper,Standard,31590742,284771905663,$5.91,300,$1773
140,PenWorks,Engineering Paper,Green,84012659,903557621448,$12.77,250,$3192.50
141,PageCraft,Planner,Weekly,19005437,557410983221,$9.66,150,$1449
142,DeskMates,Clipboard,Letter Size,62419908,710225498330,$4.44,400,$1776
143,OfficeForge,Ballpoint Pen,Black Ink,50731824,184992760114,$7.88,200,$1576
144,NoteNest,Photo Paper,Glossy,33987150,905441287660,$11.41,300,$3423
145,Scribblify,Notebook Paper,Wide Ruled,71005492,667310945772,$2.74,500,$1370
146,Binderly,3" Binder,Black,28419763,503771660982,$10.92,250,$2730
147,PageNest,Sticky Notes,3x3,91540288,774662310559,$6.33,300,$1899
148,QuillCraft,Highlighter,Yellow,47011835,129557884662,$8.44,200,$1688
149,PaperPeak,File Jacket,Red,80322147,660441905772,$4.55,400,$1820
150,WriteCo,Index Tabs,5-Tab,12877490,284557118903,$12.33,150,$1849.50
151,PenWorks,Notebook,Composition,99531024,903118774662,$9.14,300,$2742
152,PageCraft,Tracing Paper,Heavyweight,41022567,557662310441,$7.02,200,$1404
153,DeskMates,2-Pocket Folder,Blue,73219954,710557884330,$3.66,500,$1830
154,OfficeForge,Printer Paper,Premium,55900412,184771905662,$11.88,250,$2970
155,NoteNest,Sketch Paper,Heavyweight,90377411,905330198774,$13.55,300,$4065
156,Scribblify,Cardstock,White,66711802,667118774550,$10.44,400,$4176
157,Binderly,1.5" Binder,Black,28466219,503557118662,$6.77,300,$2031
158,PageNest,Highlighter,Pink,91577466,774330198662,$4.88,200,$976
159,QuillCraft,Stapler,Full Strip,47055731,129330557441,$7.44,250,$1860
160,PaperPeak,3-Prong Folder,Blue,80355792,660557118774,$6.22,400,$2488
161,WriteCo,Construction Paper,Assorted,12833057,284330198557,$3.99,300,$1197
162,PenWorks,Gel Pen,Blue Ink,99555784,903441905330,$12.44,150,$1866
163,PageCraft,Resume Paper,Ivory,41055729,557118774903,$3.88,200,$776
164,DeskMates,Legal Pad,Yellow,73277415,710330557118,$8.77,150,$1315.50
165,OfficeForge,Graph Paper,5x5 Grid,55933048,184557118441,$9.66,300,$2898
166,NoteNest,Index Cards,3x5,90311866,905557118330,$12.22,500,$6110
167,Scribblify,Clipboard,Legal Size,66733091,667330557774,$5.44,200,$1088
168,Binderly,4" Binder,White,28411850,503118774557,$11.33,250,$2832.50
169,PageNest,Lined Paper,College Ruled,91511803,774118774330,$7.88,300,$2364
170,QuillCraft,Cardstock,Assorted Colors,47033066,129118774557,$13.44,200,$2688
171,PaperPeak,Photo Paper,Glossy,80311829,660118774441,$4.33,250,$1082.50
172,WriteCo,File Jacket,Green,12811894,284118774330,$3.77,400,$1508
173,PenWorks,Engineering Paper,White,99511822,903118774118,$10.66,300,$3198
174,PageCraft,Planner,Monthly,41011877,557118774662,$14.22,200,$2844
175,DeskMates,Notebook Paper,Perforated,73211805,710118774557,$11.44,500,$5720