Product ID,Supplier Name,Product Name,Variation,SKU,UPC,Price,Palette Qty,Palette Cost,In Stock,Pallets In Stock
1,QuillCraft,"3"" Binder",White,67507007,775923551554,$6.72 ,300,"$2,016.00 ",58,2
2,DraftLine,"2"" Binder",Black,13199139,523265597897,$2.67 ,200,$534.00 ,44,1
3,PenWorks,2-Pocket Folder,Green,97122385,425475105780,$8.09 ,200,"$1,618.00 ",37,1
4,PageCraft,Stapler,Full Strip,33731197,763814529710,$14.24 ,200,"$2,848.00 ",22,0
5,PaperPeak,Photo Paper,Glossy,14901006,444096843618,$2.65 ,400,"$1,060.00 ",95,1
6,PenWorks,Index Tabs,5-Tab,72241399,2971560306,$5.86 ,400,"$2,344.00 ",63,1
7,Scribblify,Notebook Paper,Perforated,23615371,341292495483,$15.00 ,300,"$4,500.00 ",28,0
8,WriteCo,Stapler,Full Strip,37304264,989142046558,$3.07 ,300,$921.00 ,41,1
9,PenWorks,Scissors,8-inch,73641572,364069848720,$4.60 ,400,"$1,840.00 ",76,1
10,QuillCraft,Planner,Monthly,68687371,190937306427,$5.28 ,400,"$2,112.00 ",33,0
11,Scribblify,Graph Paper,5x5 Grid,74816031,432569910063,$5.49 ,300,"$1,647.00 ",42,2
12,PenWorks,Engineering Paper,White,21512812,694667828527,$4.87 ,250,"$1,217.50 ",29,0
13,PaperPeak,2-Pocket Folder,Blue,87588696,500547264040,$1.69 ,500,$845.00 ,120,1
14,Binderly,"4"" Binder",Black,45641623,783789538569,$9.92 ,500,"$4,960.00 ",18,0
15,Binderly,Index Cards,3x5,47422170,473400227388,$6.00 ,150,$900.00 ,57,1
16,NoteNest,Index Tabs,5-Tab,92369948,178413968754,$13.97 ,200,"$2,794.00 ",14,0
17,QuillCraft,Tape,Clear,84462068,346091014540,$4.77 ,150,$715.50 ,38,1
18,PageCraft,Tracing Paper,Heavyweight,79689051,87789723356,$1.92 ,500,$960.00 ,102,1
19,NoteNest,Hanging Folder,Blue,21833548,880746954113,$3.65 ,150,$547.50 ,26,0
20,Binderly,Printer Paper,Standard,19375530,318123296216,$5.12 ,200,"$1,024.00 ",48,1
21,PageCraft,Copy Paper,Standard,54961785,676471505009,$10.71 ,250,"$2,677.50 ",33,1
22,PageCraft,"3"" Binder",Black,32091109,247441239858,$10.78 ,250,"$2,695.00 ",21,0
23,PaperPeak,File Jacket,Blue,14447930,849572552011,$8.67 ,300,"$2,601.00 ",39,1
24,PageNest,Index Tabs,5-Tab,5407712,679154272218,$12.60 ,250,"$3,150.00 ",17,0
25,OfficeForge,Tracing Paper,Standard,23837278,118382481214,$8.84 ,300,"$2,652.00 ",31,1
26,OfficeForge,Lined Paper,Wide Ruled,85716162,281651450567,$3.76 ,200,$752.00 ,47,1
27,Scribblify,Sticky Notes,3x3,14412969,474431555541,$5.35 ,500,"$2,675.00 ",120,1
28,WriteCo,File Jacket,Blue,87621752,317920368070,$3.19 ,400,"$1,276.00 ",62,1
29,QuillCraft,Engineering Paper,White,29571295,625150888527,$14.61 ,300,"$4,383.00 ",19,0
30,OfficeForge,Gel Pen,Blue Ink,38932812,603760145934,$5.14 ,250,"$1,285.00 ",55,1
31,QuillCraft,Stapler,Compact,88823039,46255875031,$9.61 ,250,"$2,402.50 ",23,0
32,WriteCo,Cardstock,Assorted Colors,76789486,23641489111,$10.34 ,300,"$3,102.00 ",41,1
33,Scribblify,Cardstock,White,65485552,707374404231,$9.22 ,200,"$1,844.00 ",38,1
34,OfficeForge,Sketch Paper,Lightweight,38762324,799532633898,$4.97 ,200,$994.00 ,66,1
35,Binderly,Notebook,Composition,9334124,72779763441,$4.49 ,300,"$1,347.00 ",52,1
36,QuillCraft,Expanding File Folder,Red,22837014,787115976909,$8.28 ,200,"$1,656.00 ",19,1
37,PageNest,Cardstock,Assorted Colors,32330257,794827421223,$14.32 ,500,"$7,160.00 ",14,0
38,WriteCo,Printer Paper,Standard,93323137,93866342215,$1.78 ,250,$445.00 ,87,1
39,QuillCraft,2-Pocket Folder,Blue,51478781,135772534442,$8.46 ,300,"$2,538.00 ",33,1
40,PageNest,Sticky Notes,4x6,82662436,791764655039,$5.47 ,200,"$1,094.00 ",48,1
41,WriteCo,File Jacket,Red,95861274,14334739872,$12.83 ,200,"$2,566.00 ",22,0
42,WriteCo,Index Tabs,8-Tab,26453617,783801489437,$3.77 ,500,"$1,885.00 ",75,1
43,PaperPeak,Highlighter,Yellow,61193892,557445828340,$8.06 ,200,"$1,612.00 ",29,0
44,NoteNest,"3"" Binder",White,54865835,875142595759,$13.75 ,200,"$2,750.00 ",33,1
45,PenWorks,Graph Paper,Quad Ruled,28047605,306910846753,$7.86 ,250,"$1,965.00 ",40,1
46,PageCraft,Resume Paper,Ivory,86812593,3302537977,$3.06 ,400,"$1,224.00 ",58,1
47,DeskMates,Notebook Paper,Perforated,41948659,188943009574,$12.22 ,500,"$6,110.00 ",21,0
48,PenWorks,Engineering Paper,Green,60821724,135988645181,$9.93 ,400,"$3,972.00 ",17,0
49,Scribblify,Clipboard,Letter Size,82004528,847111052862,$5.84 ,400,"$2,336.00 ",44,1
50,PageNest,Clipboard,Legal Size,20451368,966271142758,$11.84 ,200,"$2,368.00 ",26,0
51,QuillCraft,"1"" Binder",Black,59476428,157371874076,$7.31 ,400,"$2,924.00 ",53,2
52,OfficeForge,Sketch Paper,Heavyweight,89378488,749394909487,$2.90 ,300,$870.00 ,68,1
53,OfficeForge,Planner,Weekly,31884233,759879749739,$9.95 ,150,"$1,492.50 ",27,0
54,QuillCraft,Notebook,Composition,99790130,58570130117,$13.18 ,300,"$3,954.00 ",19,0
55,WriteCo,Copy Paper,Premium,60265824,593566807989,$2.86 ,200,$572.00 ,84,1
56,PageCraft,Stapler,Full Strip,74660990,516638346750,$7.82 ,250,"$1,955.00 ",33,1
57,WriteCo,Copy Paper,Premium,9962064,272321787683,$12.69 ,150,"$1,903.50 ",22,0
58,PenWorks,Notebook Paper,Loose Leaf,58778887,806999147324,$11.48 ,500,"$5,740.00 ",41,1
59,PenWorks,"2"" Binder",Black,74280470,824186256726,$9.52 ,250,"$2,380.00 ",29,0
60,DraftLine,Cardstock,White,85154273,279707038227,$13.93 ,150,"$2,089.50 ",17,0
61,NoteNest,Notebook,Spiral,61479146,298159006904,$14.54 ,150,"$2,181.00 ",36,1
62,Scribblify,Cardstock,Assorted Colors,47461830,508296201932,$13.86 ,400,"$5,544.00 ",18,0
63,PageCraft,Index Tabs,8-Tab,81526026,157979388637,$12.37 ,300,"$3,711.00 ",25,1
64,OfficeForge,Graph Paper,5x5 Grid,5607610,628600128823,$9.83 ,300,"$2,949.00 ",44,1
65,PaperPeak,Photo Paper,Glossy,88134058,365709656654,$3.88 ,250,$970.00 ,92,1
66,PageCraft,Engineering Paper,Green,64889876,2830211563,$1.95 ,250,$487.50 ,58,1
67,QuillCraft,Graph Paper,Quad Ruled,915149,272620657498,$13.66 ,400,"$5,464.00 ",16,0
68,OfficeForge,Ballpoint Pen,Blue Ink,13708528,395198466980,$3.46 ,200,$692.00 ,73,1
69,OfficeForge,Printer Paper,High Bright,91770130,139566164625,$11.96 ,400,"$4,784.00 ",16,0
70,PageCraft,Tracing Paper,Standard,586758,817574589948,$7.25 ,150,"$1,087.50 ",33,1
71,PageCraft,Planner,Monthly,21083176,288307725136,$14.45 ,200,"$2,890.00 ",21,0
72,PageNest,Cardstock,White,95017529,381313221115,$10.33 ,400,"$4,132.00 ",39,1
73,PageNest,Lined Paper,Wide Ruled,15181524,907126604296,$11.89 ,150,"$1,783.50 ",27,0
74,PaperPeak,Planner,Weekly,67406309,117410465405,$6.55 ,400,"$2,620.00 ",48,1
75,WriteCo,Construction Paper,Assorted,81362473,229650916800,$3.80 ,250,$950.00 ,61,1
76,WriteCo,Stapler,Full Strip,3630337,721982998109,$12.00 ,200,"$2,400.00 ",24,0
77,DeskMates,Sticky Notes,3x3,61629697,867321153105,$7.04 ,150,"$1,056.00 ",52,1
78,QuillCraft,2-Pocket Folder,Red,82252159,824335719791,$3.71 ,150,$556.50 ,63,1
79,DeskMates,2-Pocket Folder,Green,72234570,154572046623,$11.54 ,200,"$2,308.00 ",29,0
80,Binderly,Scissors,5-inch,13253526,284280414778,$6.04 ,300,"$1,812.00 ",47,1
81,Binderly,"1.5"" Binder",Black,26992261,882236108801,$3.34 ,200,$668.00 ,58,1
82,PenWorks,Gel Pen,Blue Ink,8024008,807942345999,$6.81 ,500,"$3,405.00 ",33,1
83,WriteCo,Ballpoint Pen,Blue Ink,69981078,98894211301,$11.60 ,300,"$3,480.00 ",22,0
84,PaperPeak,3-Prong Folder,Blue,10626238,709684178860,$6.85 ,400,"$2,740.00 ",41,1
85,Scribblify,Highlighter,Pink,36813422,965494416271,$8.81 ,500,"$4,405.00 ",19,0
86,DeskMates,Clipboard,Legal Size,85318758,64998938402,$4.96 ,200,$992.00 ,66,1
87,PaperPeak,Expanding File Folder,Red,19058529,20555844142,$4.01 ,200,$802.00 ,38,1
88,NoteNest,Photo Paper,Matte,54643894,821716931510,$7.90 ,500,"$3,950.00 ",27,0
89,OfficeForge,Clipboard,Legal Size,35548047,575417747359,$13.51 ,250,"$3,377.50 ",14,0
90,PaperPeak,"2"" Binder",White,25500480,375606498280,$8.00 ,300,"$2,400.00 ",49,1
91,Scribblify,Index Cards,3x5,60956208,75997633425,$13.25 ,500,"$6,625.00 ",21,0
92,PaperPeak,"4"" Binder",White,82539541,137380174710,$9.56 ,250,"$2,390.00 ",33,1
93,Binderly,"1.5"" Binder",White,93945299,121402753422,$10.98 ,250,"$2,745.00 ",18,0
94,PenWorks,Sketch Paper,Heavyweight,20322821,62134673804,$14.81 ,300,"$4,443.00 ",12,0
95,PaperPeak,Copy Paper,Premium,24957073,947670736238,$10.98 ,200,"$2,196.00 ",44,1
96,QuillCraft,Highlighter,Pink,19864245,486505168802,$4.53 ,500,"$2,265.00 ",71,1
97,DraftLine,File Jacket,Blue,73268693,622685998978,$4.93 ,250,"$1,232.50 ",36,1
98,PageCraft,Cardstock,White,87050438,81885392120,$10.60 ,400,"$4,240.00 ",29,0
99,DeskMates,"1"" Binder",White,79741930,156730307236,$12.12 ,150,"$1,818.00 ",17,0
100,OfficeForge,Planner,Weekly,84793594,324938420214,$7.45 ,250,"$1,862.50 ",53,1
101,DeskMates,2-Pocket Folder,Green,57147204,316034779370,$4.85 ,300,"$1,455.00 ",43,1
102,PenWorks,Sticky Notes,3x3,17016481,826864970991,$12.81 ,250,"$3,202.50 ",28,0
103,PaperPeak,Gel Pen,Blue Ink,85392330,620562058836,$8.71 ,200,"$1,742.00 ",36,1
104,Scribblify,Expanding File Folder,Blue,72503414,363858308231,$10.40 ,150,"$1,560.00 ",17,0
105,QuillCraft,Stapler,Full Strip,91118200,348270050426,$2.24 ,300,$672.00 ,61,1
106,QuillCraft,Sticky Notes,4x6,94409115,614068051170,$4.06 ,500,"$2,030.00 ",84,1
107,DeskMates,Notebook,Composition,34391334,797405150699,$1.67 ,150,$250.50 ,49,1
108,DraftLine,3-Prong Folder,Green,48911455,566823279643,$5.82 ,200,"$1,164.00 ",22,0
109,PageCraft,Notebook,Spiral,36559542,216584788450,$4.79 ,150,$718.50 ,33,1
110,Binderly,Graph Paper,Quad Ruled,29758902,480832947796,$9.28 ,300,"$2,784.00 ",41,1
111,Scribblify,Printer Paper,High Bright,64305607,898597306445,$3.44 ,200,$688.00 ,77,1
112,Binderly,Expanding File Folder,Red,22983061,99360855580,$10.23 ,400,"$4,092.00 ",19,0
113,QuillCraft,Stapler,Compact,65735923,924365683510,$14.33 ,300,"$4,299.00 ",12,0
114,DeskMates,Legal Pad,White,8373391,542245032085,$9.08 ,150,"$1,362.00 ",38,1
115,PaperPeak,"3"" Binder",Black,32523069,172689325512,$11.79 ,150,"$1,768.50 ",21,0
116,Scribblify,Expanding File Folder,Red,67396975,519430577004,$8.81 ,300,"$2,643.00 ",33,1
117,QuillCraft,Cardstock,Assorted Colors,84820375,382265398101,$11.31 ,150,"$1,696.50 ",27,0
118,Binderly,"1"" Binder",White,71151089,48586243376,$13.13 ,300,"$3,939.00 ",18,0
119,DeskMates,"1.5"" Binder",White,46152789,880051666456,$8.37 ,500,"$4,185.00 ",44,1
120,Scribblify,Printer Paper,High Bright,87134889,304743158949,$2.98 ,200,$596.00 ,30,3
121,Binderly,Engineering Paper,Green,28229287,186539978820,$11.01 ,200,"$2,202.00 ",22,0
122,NoteNest,Sketch Paper,Heavyweight,43072373,45087929278,$14.68 ,300,"$4,404.00 ",16,0
123,PageNest,Highlighter,Pink,4285517,659622802495,$4.94 ,200,$988.00 ,58,1
124,DeskMates,Stapler,Full Strip,93571693,121555862060,$11.02 ,400,"$4,408.00 ",33,1
125,DraftLine,Envelope,Catalog,46285877,320223821055,$11.38 ,500,"$5,690.00 ",14,0
126,QuillCraft,Notebook,Spiral,18420577,624198375410,$11.92 ,300,"$3,576.00 ",48,2
127,PaperPeak,Photo Paper,Matte,90543712,317540982671,$6.44 ,250,"$1,610.00 ",72,1
128,WriteCo,Stapler,Compact,67281409,845219760334,$9.77 ,200,"$1,954.00 ",33,1
129,PenWorks,Gel Pen,Black Ink,31057864,129874665902,$4.68 ,400,"$1,872.00 ",81,1
130,PageCraft,Copy Paper,High Bright,74190236,503118794225,$12.14 ,300,"$3,642.00 ",29,0
131,DeskMates,Sticky Notes,4x6,55914780,774503219886,$3.55 ,500,"$1,775.00 ",94,1
132,OfficeForge,Sketch Paper,Lightweight,82269041,690441285317,$7.62 ,200,"$1,524.00 ",37,1
133,NoteNest,Index Tabs,8-Tab,44821763,284190557603,$13.44 ,150,"$2,016.00 ",22,0
134,Scribblify,Graph Paper,Quad Ruled,90331155,947662310845,$6.33 ,300,"$1,899.00 ",41,1
135,Binderly,"1"" Binder",White,12794068,310557498621,$8.09 ,400,"$3,236.00 ",56,2
136,PageNest,Cardstock,Assorted Colors,66820491,826441905377,$14.22 ,250,"$3,555.00 ",18,0
137,QuillCraft,Expanding File Folder,Blue,59281403,475330198744,$10.56 ,200,"$2,112.00 ",27,1
138,PaperPeak,2-Pocket Folder,Red,77452016,660118374902,$3.44 ,500,"$1,720.00 ",115,1
139,WriteCo,Printer Paper,Standard,31590742,284771905663,$5.91 ,300,"$1,773.00 ",33,1
140,PenWorks,Engineering Paper,Green,84012659,903557621448,$12.77 ,250,"$3,192.50 ",19,0
141,PageCraft,Planner,Weekly,19005437,557410983221,$9.66 ,150,"$1,449.00 ",44,1
142,DeskMates,Clipboard,Letter Size,62419908,710225498330,$4.44 ,400,"$1,776.00 ",62,1
143,OfficeForge,Ballpoint Pen,Black Ink,50731824,184992760114,$7.88 ,200,"$1,576.00 ",39,1
144,NoteNest,Photo Paper,Glossy,33987150,905441287660,$11.41 ,300,"$3,423.00 ",28,0
145,Scribblify,Notebook Paper,Wide Ruled,71005492,667310945772,$2.74 ,500,"$1,370.00 ",103,1
146,Binderly,"3"" Binder",Black,28419763,503771660982,$10.92 ,250,"$2,730.00 ",21,0
147,PageNest,Sticky Notes,3x3,91540288,774662310559,$6.33 ,300,"$1,899.00 ",57,1
148,QuillCraft,Highlighter,Yellow,47011835,129557884662,$8.44 ,200,"$1,688.00 ",66,1
149,PaperPeak,File Jacket,Red,80322147,660441905772,$4.55 ,400,"$1,820.00 ",48,1
150,WriteCo,Index Tabs,5-Tab,12877490,284557118903,$12.33 ,150,"$1,849.50 ",17,0
151,PenWorks,Notebook,Composition,99531024,903118774662,$9.14 ,300,"$2,742.00 ",34,1
152,PageCraft,Tracing Paper,Heavyweight,41022567,557662310441,$7.02 ,200,"$1,404.00 ",29,0
153,DeskMates,2-Pocket Folder,Blue,73219954,710557884330,$3.66 ,500,"$1,830.00 ",112,1
154,OfficeForge,Printer Paper,Premium,55900412,184771905662,$11.88 ,250,"$2,970.00 ",24,0
155,NoteNest,Sketch Paper,Heavyweight,90377411,905330198774,$13.55 ,300,"$4,065.00 ",18,0
156,Scribblify,Cardstock,White,66711802,667118774550,$10.44 ,400,"$4,176.00 ",39,1
157,Binderly,"1.5"" Binder",Black,28466219,503557118662,$6.77 ,300,"$2,031.00 ",52,1
158,PageNest,Highlighter,Pink,91577466,774330198662,$4.88 ,200,$976.00 ,71,1
159,QuillCraft,Stapler,Full Strip,47055731,129330557441,$7.44 ,250,"$1,860.00 ",33,1
160,PaperPeak,3-Prong Folder,Blue,80355792,660557118774,$6.22 ,400,"$2,488.00 ",46,1
161,WriteCo,Construction Paper,Assorted,12833057,284330198557,$3.99 ,300,"$1,197.00 ",58,1
162,PenWorks,Gel Pen,Blue Ink,99555784,903441905330,$12.44 ,150,"$1,866.00 ",14,0
163,PageCraft,Resume Paper,Ivory,41055729,557118774903,$3.88 ,200,$776.00 ,33,1
164,DeskMates,Legal Pad,Yellow,73277415,710330557118,$8.77 ,150,"$1,315.50 ",27,0
165,OfficeForge,Graph Paper,5x5 Grid,55933048,184557118441,$9.66 ,300,"$2,898.00 ",41,1
166,NoteNest,Index Cards,3x5,90311866,905557118330,$12.22 ,500,"$6,110.00 ",63,1
167,Scribblify,Clipboard,Legal Size,66733091,667330557774,$5.44 ,200,"$1,088.00 ",38,1
168,Binderly,"4"" Binder",White,28411850,503118774557,$11.33 ,250,"$2,832.50 ",19,0
169,PageNest,Lined Paper,College Ruled,91511803,774118774330,$7.88 ,300,"$2,364.00 ",52,1
170,QuillCraft,Cardstock,Assorted Colors,47033066,129118774557,$13.44 ,200,"$2,688.00 ",22,0
171,PaperPeak,Photo Paper,Glossy,80311829,660118774441,$4.33 ,250,"$1,082.50 ",91,1
172,WriteCo,File Jacket,Green,12811894,284118774330,$3.77 ,400,"$1,508.00 ",44,1
173,PenWorks,Engineering Paper,White,99511822,903118774118,$10.66 ,300,"$3,198.00 ",18,0
174,PageCraft,Planner,Monthly,41011877,557118774662,$14.22 ,200,"$2,844.00 ",27,0
175,DeskMates,Notebook Paper,Perforated,73211805,710118774557,$11.44 ,500,"$5,720.00 ",103,1
